,code,firstCategory,FirstCategoryID,secondCategory,SecondCategoryID,info
2,1000000000000000000,货物,0,货物,0,
3,1010000000000000000,农产品,1,农、林、牧、渔业类产品,1,
4,1010100000000000000,农业产品,2,农业产品,2,
5,1010101000000000000,谷物,3,谷物,3,包括稻谷、小麦、玉米、谷子、高粱、大麦、燕麦、黑麦、荞麦、其他谷物，不包括种用谷物（详见101011901）。
6,1010101010000000000,谷物,3,稻谷,4,包括早籼稻、晚籼稻、中籼稻、粳稻、糯稻、其他稻谷。
7,1010101020000000000,谷物,3,小麦,5,包括硬质小麦、软质小麦、其他小麦。
8,1010101030000000000,谷物,3,玉米,6,包括白玉米、黄玉米、糯玉米、甜玉米、其他玉米。
9,1010101040000000000,谷物,3,谷子,7,包括硬谷子、糯谷子、其他谷子。
10,1010101050000000000,谷物,3,高粱,8,包括红粒高粱、白粒高粱、糯高粱、其他高粱。
11,1010101060000000000,谷物,3,大麦,9,包括裸大麦、皮大麦。
12,1010101070000000000,谷物,3,燕麦,10,包括裸燕麦、皮燕麦。
13,1010101080000000000,谷物,3,黑麦,11,
14,1010101090000000000,谷物,3,荞麦,12,包括甜荞麦、苦荞麦。
15,1010101990000000000,谷物,3,其他谷物,13,包括糜子（硬糜子、糯糜子）、紫米、薏苡等。
16,1010102000000000000,薯类,4,薯类,14,包括马铃薯、木薯、甘薯、其他薯类，不包括种用薯类（详见101011902）。
17,1010102010000000000,薯类,4,马铃薯,15,又称土豆、山药蛋。
18,1010102020000000000,薯类,4,木薯,16,包括鲜木薯、木薯干、其他木薯。
19,1010102030000000000,薯类,4,甘薯,17,又称红薯、白薯、地瓜、番薯、包括甘薯干、其他鲜甘薯。
20,1010102990000000000,薯类,4,其他薯类,18,指其他未列明薯类。
21,1010103000000000000,油料,5,油料作物,19,包括花生、油菜籽、芝麻、其他油料，不包括种用油料（详见101011903）。
22,1010103010000000000,油料,5,花生,20,包括带壳花生、花生仁。
23,1010103020000000000,油料,5,油菜籽,21,包括双低油菜籽（指低硫苷、低芥酸油菜籽）、其他油菜籽。
24,1010103030000000000,油料,5,芝麻,22,包括白芝麻、黑芝麻、黄芝麻。
25,1010103990000000000,油料,5,其他油料,23,其他含油子仁及果实，如胡麻籽、棉籽、蓖麻籽、芥子、红花籽、油棕果及油棕仁、罂粟子、油橄榄果、油茶籽（油料）等。
26,1010104000000000000,干豆,6,干豆类,24,指脱荚的干豆；带荚的鲜豆列入蔬菜中。包括大豆、绿豆、其他杂豆、但不包括种用豆类（详见101011904）。
27,1010104010000000000,干豆,6,大豆,25,包括黄大豆、黑大豆、青大豆、褐红大豆、双青豆、青仁乌豆、小黑豆、其他大豆。
28,1010104020000000000,干豆,6,绿豆,26,包括明绿豆、毛绿豆。
29,1010104990000000000,干豆,6,其他杂豆,27,其他杂豆、包括小豆、干豌豆、小扁豆、干蚕豆、芸豆、饭豆、干豇豆、鹰嘴豆、其他杂豆，但不包括种用其他杂豆（详见101011904）。
30,1010105000000000000,棉花,7,棉花,28,不论是否轧过、具体包括籽棉、皮棉（细绒棉皮棉、长绒棉皮棉）、其他棉花。
31,1010106000000000000,生麻,8,生麻,29,包括生亚麻、生苎麻、生黄红麻、生线麻、生苘麻、生大麻、生剑麻、其他生麻。
32,1010107000000000000,糖料,9,糖料,30,包括甘蔗、甜菜、其他糖料。
33,1010107010000000000,糖料,9,甘蔗,31,
34,1010107020000000000,糖料,9,甜菜,32,
35,1010107990000000000,糖料,9,其他糖料,33,
36,1010108000000000000,烟草,10,未加工烟草,34,指未去梗的烟草，包括未去梗烤烟叶、未去梗晒烟叶、未去梗晾烟叶、未去梗白肋烟、其他未加工烟草。
37,1010108010000000000,烟草,10,未去梗烤烟叶,35,指初烤未去梗烤烟叶，不包括复烤烟叶（详见1030401）。
38,1010108990000000000,烟草,10,其他未加工烟草,36,指其他未加工烟草，包括未去梗晒烟叶、未去梗晾烟叶、未去梗白肋烟、其他未加工烟草。
39,1010109000000000000,饲料作物,11,饲料作物,37,包括苜蓿、青饲料、饲料牧草、其他饲料作物，不包括种用饲料作物（详见101011905）。
40,1010109010000000000,饲料作物,11,饲料牧草,38,包括苜蓿干草、羊草、沙打旺、其他饲料牧草。
41,1010109990000000000,饲料作物,11,其他饲料作物,39,包括青饲料、其他饲料作物。
42,1010110000000000000,水生植物,12,水生植物类,40,包括芦苇、席草、苇子、莲子、蒲草、慈姑、其他水生植物类。
43,1010111000000000000,农副产品,13,农作物副产品,41,包括红黑瓜籽、园参籽、作物茎（秆、根）、其他农作物副产品。
44,1010111010000000000,农副产品,13,作物茎、秆、根,42,包括稻草、麦秸、谷壳、谷子秸、玉米秸、高粱秸、薯藤、大豆秸、花生蔓、油菜籽秆、芝麻秆、向日葵秆、棉花秆、麻秆、烟秆、其他作物茎、杆、根。
45,1010111990000000000,农副产品,13,其他农作物副产品,43,包括红黑瓜籽、园参籽等。
46,1010112000000000000,蔬菜及食用菌,14,蔬菜及食用菌,44,包括萝卜等根菜类蔬菜、山药等薯芋类蔬菜、葱蒜类蔬菜、白菜类蔬菜、芥菜类蔬菜、甘蓝类蔬菜、芹菜叶菜类蔬菜、瓜类蔬菜、番茄等茄果类蔬菜、菜豆等豆类蔬菜、莲藕等水生蔬菜、竹笋等多年生及杂类蔬菜、香菇等食用菌、绿豆芽等芽苗菜、其他蔬菜。不包括蔬菜籽（详见01011906）。
47,1010112010000000000,蔬菜,15,萝卜等根菜类蔬菜,45,包括萝卜（别名：葖、芦菔、莱菔）、胡萝卜（别名：红萝卜、黄萝卜、丁香萝卜、药性萝卜、番萝卜）、芜菁（别名：蔓菁、圆根、盘菜）、芜菁甘蓝（别名：洋蔓菁、洋疙瘩、洋大头菜）、根菾菜（别名：红菜头、紫菜头）、美洲防风（别名：欧防风芹菜萝卜、蒲芹萝卜）、牛蒡（别名：东洋萝卜、蝙蝠刺、大力子）、根芹菜（别名：根洋芹菜、球根塘蒿）、婆罗门参（别名：西洋牛蒡、蒜叶婆罗门参）、山葵）、黑婆罗门参（别名：菊牛蒡、鸦葱）。
48,1010112020000000000,蔬菜,15,山药等薯芋类蔬菜,46,包括姜（别名：生姜、黄姜）、芋（别名：芋头、芋艿、毛芋）、魔芋（别名：磨芋、蒟蒻）、山药（别名：薯蓣、白苕、脚板苕、山薯、大薯、佛掌薯）、豆薯（别名：地瓜、凉薯、沙葛、新罗葛）、葛、菊芋（别名：洋姜、鬼子姜）、菜用土圞儿（别名：香芋、美洲土圞儿）、蕉芋（别名：蕉藕、姜芋、食用美人蕉、食用莲蕉）、草石蚕（别名：螺丝菜、宝塔菜、甘露儿、地蚕）。不包括马铃薯（详见101010201）、甘薯（详见101010203）。
49,1010112030000000000,蔬菜,15,葱蒜类蔬菜,47,包括韭（别名：草钟乳、起阳草、懒人菜、韭黄）、大葱（别名：木葱、汉葱）、洋葱（别名：葱头、圆葱）、大蒜（别名：胡蒜、蒜）、蒜薹（别名：蒜苔）、蒜苗（别名：蒜黄、青蒜）、分葱（别名：四季葱、菜葱、冬葱）、胡葱（别名：蒜头葱、瓣子葱、火葱、肉葱）、细香葱（别名：四季葱、香葱、蝦夷葱）、韭葱（别名：扁葱、扁叶葱、洋蒜苗）、楼葱（别名：龙爪葱、龙角葱）、蕹（别名：藠头、藠子、莱芝）。
50,1010112040000000000,蔬菜,15,白菜类蔬菜,48,包括大白菜（别名：结球白菜、黄芽菜、包心白菜）、普通白菜（别名：白菜、小白菜、青菜、油菜）、乌塌菜（别名：榻菜、塌棵菜、榻地菘、黑菜）、菜薹（别名：菜心、绿菜薹、菜尖）、薹菜、紫菜薹（别名：红菜薹）。
51,1010112050000000000,蔬菜,15,芥菜类蔬菜,49,包括茎芥（别名：茎瘤芥、青菜头、菜头、包包菜、羊角菜、菱角菜、抱子芥、儿菜、娃娃菜、笋子芥、棒菜）、叶芥（别名：青菜、苦菜、春菜、辣菜、雪里蕻）、根芥（别名：辣疙瘩、冲菜、芥头、大头菜、疙瘩菜）、薹芥。
52,1010112060000000000,蔬菜,15,甘蓝类蔬菜,50,包括结球甘蓝（别名：洋白菜、卷心菜、包心菜、椰菜、莲花白、包包白、圆白菜、茴子白）、球茎甘蓝（别名：苤蓝、菘、玉蔓菁、芥蓝头、擘蓝）、花椰菜（别名：花菜、菜花）、青花菜（别名：木立花椰菜、意大利花椰菜、嫩茎花椰菜、绿菜花、西兰花）、芥蓝（别名：白花芥蓝）、抱子甘蓝（别名：芽甘蓝、子持甘蓝）、羽衣甘蓝（别名：绿叶甘蓝、菜用羽衣甘蓝、叶牡丹、花包菜）。
53,1010112070000000000,蔬菜,15,芹菜等叶菜类蔬菜,51,包括菠菜（别名：菠稜菜、赤根菜、角菜、波斯草）、莴苣（别名：千金菜、莴笋、生菜、青笋、莴苣笋、莴菜、油麦菜、莜麦菜）、芹菜（别名：芹、药芹、苦堇、堇葵、堇菜、旱芹）、蕹菜（别名：空心菜、竹叶菜、通菜、藤菜、蓊菜）、苋菜（别名：米苋、赤苋、刺苋、青香苋、苋）、叶菾菜（别名：莙荙菜、牛皮菜、厚皮菜、光菜、叶甜菜）、菊苣（别名：欧洲菊苣、苞菜、吉康菜、法国莒荬菜）、冬寒菜（别名：冬苋菜、冬葵、葵菜、滑肠菜）、落葵（别名：木耳菜、软浆叶、软姜子、染浆叶、胭脂豆、豆腐菜、藤菜、紫果菜）、茼蒿（别名：蒿子秆、大叶茼蒿、蓬蒿、春菊）、芫荽（别名：香菜、胡荽、香荽）、茴香（别名：小茴香、香丝菜、结球茴香、鲜茎茴香、甜茴香）、菊花脑（别名：菊花叶、黄菊籽、路边黄、黄菊仔）、荠菜（别名：护生草、菱角菜、地米草、扇子草）、菜苜蓿（别名：草头、金花菜、黄花苜蓿、刺苜蓿、南苜蓿、黄花草子）、番杏（别名：新西兰菠菜、洋菠菜、夏菠菜、白番苋、海滨莴苣、宾菜、蔓菜）、苦苣（别名：花叶生菜、花苣）、紫背天葵（别名：血皮菜、紫背菜、红凤菜、观音苋、双色三七草）、罗勒（别名：毛罗勒、九层塔、零陵香、兰香草、光明子、省头草）、马齿苋（别名：马齿菜、长命菜、五行草、瓜子菜、马蛇子菜）、紫苏（别名：荏、赤苏、白苏、香苏、苏叶、桂荏、回回苏）、榆钱菠菜（别名：食用滨藜、洋菠菜、山菠菜、山菠薐草）、薄荷（别名：山野薄荷、蕃荷菜）、莳萝（别名：土茴香、草茴香、小茴香）、鸭儿芹（别名：鸭脚板、三叶芹、山芹菜、野蜀葵、三蜀葵、水芹菜）、蕺菜（别名：鱼腥草、蕺儿根、侧耳根、狗帖耳、鱼鳞草、菹菜）、蒲公英（别名：黄花苗、黄花地丁、婆婆丁、蒲公草）、马兰（别名：马兰头、红梗菜、紫菊、田边菊、马兰菊、鸡儿肠、竹节草）、香芹菜（别名：荷兰芹、洋芫荽、欧芹、法国香菜、旱芹菜）、珍珠菜（别名：角菜、白苞蒿、山芹菜、珍珠花菜、甜菜子、鸭脚艾、乳白艾）。
