,item,code,firstCategory,FirstCategoryID,secondCategory,SecondCategoryID
0,蛋奶液,1030204010000000000,乳制品,74.0,液体乳,509.0
1,打发淡奶油,1030204010000000000,乳制品,74.0,液体乳,509.0
2,茉莉花茶蛋奶液,1030204010000000000,乳制品,74.0,液体乳,509.0
3,焦糖布丁蛋奶液,1030204010000000000,乳制品,74.0,液体乳,509.0
4,法式甜奶油,1030204020000000000,乳制品,74.0,固体及半固体乳制品,510.0
5,九州发酵乳,1030204020000000000,乳制品,74.0,固体及半固体乳制品,510.0
6,卡仕达奶油,1030204020000000000,乳制品,74.0,固体及半固体乳制品,510.0
7,水牛芝士,1030204020000000000,乳制品,74.0,固体及半固体乳制品,510.0
8,抹茶奶油,1030204020000000000,乳制品,74.0,固体及半固体乳制品,510.0
9,打发奶油,1030204020000000000,乳制品,74.0,固体及半固体乳制品,510.0
10,玻璃杯蜡烛,1070299060000000000,其他化学制品,161.0,蜡烛及类似品,1818.0
11,香茅蜡烛/迷你,1070299060000000000,其他化学制品,161.0,蜡烛及类似品,1818.0
12,芳香蜡烛,1070299060000000000,其他化学制品,161.0,蜡烛及类似品,1818.0
13,棕櫚蜡烛,1070299060000000000,其他化学制品,161.0,蜡烛及类似品,1818.0
14,无香蜡烛,1070299060000000000,其他化学制品,161.0,蜡烛及类似品,1818.0
15,纵型聚酯化妆盒,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
16,塑料唇膏盒,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
17,PET替换瓶用识别环,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
18,PET分裝瓶/按压式,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
19,PET分裝喷雾型,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
20,PET喷雾小分装瓶,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
21,铝盖PET胶瓶,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
22,聚丙烯化妆盒,1070601120000000000,塑料制品,173.0,日用塑料制品,1984.0
23,沙发(1）/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
24,Ｓ系列/沙发(3）/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
25,Ｏ系列/方形沙发/2色/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
26,Ｍ系列/椅子/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
27,Ｂ系列/椅子/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
28,Ｄ系列/扶手椅/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
29,Ｆ系列/椅子/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
30,椅子,1050201060000000000,家具,102.0,软体家具,854.0
31,沙发 1,1050201060000000000,家具,102.0,软体家具,854.0
32,沙发 2（右）,1050201060000000000,家具,102.0,软体家具,854.0
33,沙发 2（左）,1050201060000000000,家具,102.0,软体家具,854.0
34,X系列/椅子/2色/IDEE纺织物,1050201060000000000,家具,102.0,软体家具,854.0
35,L系列/椅子/灰色 肤色,1050201060000000000,家具,102.0,软体家具,854.0
36,D沙发 (C3) IDEE 纺织物,1050201060000000000,家具,102.0,软体家具,854.0
37,桦木材AV电视柜,1050201010000000000,家具,102.0,木质家具,849.0
38,带脚床垫・独立袋装弹簧・单人（钢丝框架・可洗外罩）,1050201060000000000,家具,102.0,软体家具,854.0
39,带脚床垫・独立袋装弹簧・双人（钢丝框架・可洗外罩）,1050201060000000000,家具,102.0,软体家具,854.0
40,橡木加宽双人床,1050201010000000000,家具,102.0,木质家具,849.0
41,水曲柳床/双人加宽,1050201010000000000,家具,102.0,木质家具,849.0
42,水曲柳双人床,1050201010000000000,家具,102.0,木质家具,849.0
43,桦木单人床,1050201010000000000,家具,102.0,木质家具,849.0
44,桦木加宽双人床,1050201010000000000,家具,102.0,木质家具,849.0
45,水曲柳床/加宽,1050201010000000000,家具,102.0,木质家具,849.0
46,收纳床/追加台/双人/胡桃木,1050201010000000000,家具,102.0,木质家具,849.0
47,松木双人床,1050201010000000000,家具,102.0,木质家具,849.0
48,松木床/单人,1050201010000000000,家具,102.0,木质家具,849.0
49,水曲柳床脚 · 附脚床垫 · 20CM,1050201060000000000,家具,102.0,软体家具,854.0
50,桦木床,1050201010000000000,家具,102.0,木质家具,849.0
51,木床框/双人/OA,1050201010000000000,家具,102.0,木质家具,849.0
52,PN床/单人,1050201010000000000,家具,102.0,木质家具,849.0
53,木制床/双人/水曲柳实木/棕色,1050201010000000000,家具,102.0,木质家具,849.0
54,木制床架用篮,1050201010000000000,家具,102.0,木质家具,849.0
55,实木床/加宽双人/橡木材,1050201010000000000,家具,102.0,木质家具,849.0
56,水曲柳床/双人特宽,1050201010000000000,家具,102.0,木质家具,849.0
57,床框/双人/WN,1050201010000000000,家具,102.0,木质家具,849.0
58,床框用床头板/单人/OA,1050201010000000000,家具,102.0,木质家具,849.0
59,床框用床头板/单人/WN,1050201010000000000,家具,102.0,木质家具,849.0
60,附脚床垫/独立式樽形弹簧/单人（木弹簧/可洗床套）,1050201060000000000,家具,102.0,软体家具,854.0
61,收纳床/追加台/双人/WN,1050201060000000000,家具,102.0,软体家具,854.0
62,高密度独立式床垫/加宽双人型,1050201060000000000,家具,102.0,软体家具,854.0
63,增量型超高密度独立式樽型弹簧床垫/特宽双人型,1050201060000000000,家具,102.0,软体家具,854.0
64,独立式樽型弹簧床垫/加宽双人,1050201060000000000,家具,102.0,软体家具,854.0
65,樽型弹簧床垫/特宽双人,1050201060000000000,家具,102.0,软体家具,854.0
66,超高密度独立式樽型弹簧床垫/小,1050201060000000000,家具,102.0,软体家具,854.0
67,独立式樽型弹簧床垫/特宽双人,1050201060000000000,家具,102.0,软体家具,854.0
68,可洗床垫/硬垫/小,1050201060000000000,家具,102.0,软体家具,854.0
69,独立式樽型弹簧床垫 / 加大双人,1050201060000000000,家具,102.0,软体家具,854.0
70,钢制椅子,1050201040000000000,家具,102.0,金属家具,852.0
71,桦木椅子,1050201010000000000,家具,102.0,木质家具,849.0
72,钢铁收藏家具用门,1050202040000000000,家具配件,103.0,金属家具零配件,862.0
73,家具门用制动钩,1050202040000000000,家具配件,103.0,金属家具零配件,862.0
74,硬纸板柜/连接用金属部件,1050202040000000000,家具配件,103.0,金属家具零配件,862.0
75,【配件】硬纸板盒用暗榫/4个装,1050202040000000000,家具配件,103.0,金属家具零配件,862.0
76,【配件】衣架/挂钩/大/BC,1050202010000000000,家具配件,103.0,木质家具零配件,859.0
77,【配件】组合式木架用钢管(长型)开放型用2列用,1050202040000000000,家具配件,103.0,金属家具零配件,862.0
78,松木组合架/交叉杆/小,1050202040000000000,家具配件,103.0,金属家具零配件,862.0
79,脚/带脚床垫用/床下２６ｃｍ型／原色（小/单人专用）,1050202060000000000,家具配件,103.0,软体家具零配件,864.0
80,酒椰叶的纤维成型宽边帽,1040205010000000000,帽子,96.0,帽子,752.0
81,棉可调节式圆帽,1040205010000000000,帽子,96.0,帽子,752.0
82,酒椰纤维细编可折叠宽边帽 宽檐,1040205010000000000,帽子,96.0,帽子,752.0
83,铅笔,1060402010300000000,文具,113.0,铅笔,987.0
84,活动铅笔,1060402010300000000,文具,113.0,铅笔,987.0
85,铝制自动笔带夹子,1060402010300000000,文具,113.0,铅笔,987.0
86,树脂圆珠笔,1060402010200000000,文具,113.0,圆珠笔,986.0
87,亚克力油性圆珠笔,1060402010200000000,文具,113.0,圆珠笔,986.0
88,弹簧按压式圆珠笔,1060402010200000000,文具,113.0,圆珠笔,986.0
89,丁字裤,1040201010000000000,服装,94.0,女内衣,710.0
90,七分长收腿裤,1040201130000000000,服装,94.0,女裤子,722.0
91,A10 棉混弹力V领短袖T恤,1040201090000000000,服装,94.0,女Ｔ恤衫,718.0
92,SUS木质板架/宽,1050103000000000000,木制品,98.0,人造板,796.0
93,钢制组合式置物架/帆布篮组合/木制层板,1050103000000000000,木制品,98.0,人造板,796.0
94,橡木材组合架/追加搁板,1050106040000000000,木制品,98.0,木托板、箱形托盘及类似装载木板,825.0
95,松木单元架子板,1050106040000000000,木制品,98.0,木托板、箱形托盘及类似装载木板,825.0
96,衣架/附层板/BC,1050106040000000000,木制品,98.0,木托板、箱形托盘及类似装载木板,825.0
97,壁挂框・明信片尺寸用/OA,1050108030000000000,木制品,98.0,木质框架，相关木制品,833.0
98,木製　方型托盘,1050108010000000000,木制品,98.0,木制餐具及厨房用具,831.0
99,木制托盘,1050108010000000000,木制品,98.0,木制餐具及厨房用具,831.0
100,木製 漆塗弁当箱,1050106010000000000,木制品,98.0,木制桶、槽、盆及类似容器,822.0
101,东阳制果海带米饼,1030201030000000000,焙烤食品,71.0,饼干,490.0
102,东阳制果酱油米饼,1030201030000000000,焙烤食品,71.0,饼干,490.0
103,东阳制果黑豆米饼,1030201030000000000,焙烤食品,71.0,饼干,490.0
104,五色风味仙贝（膨化食品）,1030201040000000000,焙烤食品,71.0,膨化食品,491.0
105,什锦味煎饼,1030201030000000000,焙烤食品,71.0,饼干,490.0
106,什锦夹心饼干,1030201030000000000,焙烤食品,71.0,饼干,490.0
107,什锦豆,1030201040000000000,焙烤食品,71.0,膨化食品,491.0
108,全麦吐司面团,1030201020000000000,焙烤食品,71.0,面包,489.0
109,毛毡圣诞树／灰色,1060408990000000000,玩具,118.0,其他玩具,1040.0
110,亚克力圣诞树,1060408030000000000,玩具,118.0,玩偶及其零配件和装饰品,1034.0
111,羊毛毡　岩刻图案挂件,1060408030000000000,玩具,118.0,玩偶及其零配件和装饰品,1034.0
112,毛毡圣诞树,1060408030000000000,玩具,118.0,玩偶及其零配件和装饰品,1034.0
113,T恤衫布制玩偶,1060408020000000000,玩具,118.0,填充类玩具,1033.0
114,儿童用绘图拼版3,1060408030000000000,玩具,118.0,玩偶及其零配件和装饰品,1034.0
115,钥匙圈/车,1060408030000000000,玩具,118.0,玩偶及其零配件和装饰品,1034.0
116,黑棉皮革手提公事包黑色,1040303020000000000,皮革毛皮制品,97.0,手提包（袋）、背包,761.0
117,黄铜皮带扣皮带,1040304030000000000,皮革毛皮制品,97.0,皮革制衣着附件,769.0
118,麻编织手袋,1040303020000000000,皮革毛皮制品,97.0,手提包（袋）、背包,761.0
119,高级皮革风皮带,1040304030000000000,皮革毛皮制品,97.0,皮革制衣着附件,769.0
120,高密度锦纶斜纹背包,1040303020000000000,皮革毛皮制品,97.0,手提包（袋）、背包,761.0
121,丰味冰砂糖,1030202010000000000,糖果类食品,72.0,糖果,495.0
122,圣诞树型综合糖果,1030202010000000000,糖果类食品,72.0,糖果,495.0
123,多味汽水糖,1030202010000000000,糖果类食品,72.0,糖果,495.0
124,巧克力夹心泡芙,1030202030000000000,糖果类食品,72.0,巧克力制品,497.0
125,巧克力套装（A）,1030202030000000000,糖果类食品,72.0,巧克力制品,497.0
126,巧克力套装（B）,1030202030000000000,糖果类食品,72.0,巧克力制品,497.0
127,巧克力豆,1030202030000000000,糖果类食品,72.0,巧克力制品,497.0
128,巧克力麦脆,1030202030000000000,糖果类食品,72.0,巧克力制品,497.0
129,桃子味果冻,1030202070100000000,糖果类食品,72.0,果冻,502.0
